bdr,adr,sharpe_base,pnl_base,trades_base,sharpe_kf,pnl_kf,trades_kf,corr_log,median_ratio_diag
NVDC34,NVDA,3.626907,17.968400,170,3.001730,2.809610,204,0.999974,0.020822
AVGO34,AVGO,3.468548,13.857634,92,1.543031,1.063359,151,0.999762,0.014030
BABA34,BABA,4.440204,61.775975,202,-3.361750,-4.477694,244,0.999936,0.035723
JDCO34,JD,3.602383,64.266090,114,-4.183130,-7.456821,147,0.999879,0.166705
GOGL34,GOOGL,3.146978,87.149714,174,-6.420246,-24.269150,270,0.999901,0.082950
TSMC34,TSM,4.143151,155.853268,157,-7.125281,-32.511667,207,0.999001,0.121405
M1TA34,META,3.158865,152.904140,172,-7.828154,-42.053014,228,0.999942,0.035613
AAPL34,AAPL,3.540638,86.785321,250,-8.239742,-32.532182,320,0.999960,0.049251
MSFT34,MSFT,2.836505,99.412112,180,-8.363910,-54.504010,258,0.999959,0.040879
AMZO34,AMZN,3.329759,74.864140,179,-8.583898,-24.723031,227,0.999969,0.050006
TSLA34,TSLA,4.740049,163.765303,229,-9.739053,-27.596754,271,0.999924,0.031249
